Feedback Received Date,Feedback Description,User's Quote,Rating,URLs,Extension,Source,Focus Area,Shared to Airtable by
"November 10, 2023","Honestly, the Best!",I’ve used Woo for years and this forum has always provided outstanding support and resolution.  Happy Holidays!,5,https://wordpress.org/support/topic/honestly-the-best-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 10, 2023",The best,"<font _mstmutation=”1″></font>I have tried many software for online shops and I found Woocommerce to be the best. Among other things, it is full of plugins to add functions.",5,https://wordpress.org/support/topic/the-best-2493/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 9, 2023","Updates, updates… updates upon updates… ridicolous","Updates, updates… updates upon updates… The only thing that has changed in 10 years with all these updates, are the bug fixes. For functionality and design it remained the blogs of the 90s",3,https://wordpress.org/support/topic/updates-updates-updates-upon-updates-ridicolous/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 3, 2023",Stellar customer support!,"While not a programmer or a veteran but I have been tinkering with wordpress and woocommerce for a few years already. I’m still learning and frankly speaking the amount of customization you can do with this system is insane, especially for something that is free and open source. But with that comes alot  of headaches due to tweaking, customizations and conflicts with other plugins. Thankfully woocommerce support is wonderful. Without them I very well would have bailed out a long time ago! A big shout-out to all the wonderful people that keeps the community alive and evolving and most importantly free! ! Keep up the good work!!!",5,https://wordpress.org/support/topic/stellar-customer-support-6/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 2, 2023",Happy with WP support,"The WooCommerce plugin is a game-changer for e-commerce websites. It seamlessly integrates with WordPress, making it user-friendly for managing online stores. Its versatile features, customization options, and robust support make it a top choice for anyone looking to set up a successful online business. Highly recommended!",5,https://wordpress.org/support/topic/happy-with-wp-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 2, 2023","Perfect solution, thank you very much!","Perfect solution, thank you very much! 5 stars",5,https://wordpress.org/support/topic/perfect-solution-thank-you-very-much/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 31, 2023",Definitely worth it’s weight…,"great plugin, with excellent support.
not usedb
 By thousands for no reason",5,https://wordpress.org/support/topic/definitely-worth-its-weight/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 26, 2023",Wp Helped Me Solve My Issue,I had an issue where I was trying to hide the bullet characters in an unordered list. Someone replied right away with some CSS code and it worked the first time I implemented it. Thank you Wp!,5,https://wordpress.org/support/topic/wp-helped-me-solve-my-issue/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 26, 2023","Thought I would give it another shot, sad results","Site, plugins, and theme up to date. I use Astra theme (not some no name), and only have a few well known plugins.
I installed WooCommerce with the Pinterest and Google ads extensions, nothing else. Installs without issue.
Click through set up, enter in location and product category, click on add products, select digital type, page hangs on blank page.
Hit refresh, returns the following: “Fatal error: Unknown: Cannot use output buffering in output buffering display handlers in Unknown on line 0“
Check website, it’s down, returns same fatal error. 
Login to server and rename woocommerce plugin folder. Brings site and admin panel back up. 
In admin panel there are two warnings: “Google Listings and Ads requires WooCommerce version 6.9 or higher.” and “Pinterest for WooCommerce requires a minimum WooCommerce version of 5.3.”
I check WooCommerce version of the plugin I just installed…8.2.1.
It’s really just sad.
I had a client who asked me to set up an ecommerce store for her and we set up WooCommerce. It was constantly needing attention. I never recommended it for another client. I thought I would give it a shot since it was for my own store. Not impressed at all with the outcome.
Sure, I could spend more time and could probably figure it out again, but really? Why should I have to? I get it, it’s WordPress. I get it, plugins interact. I get it, servers act differently, but Woo just seems to consistently battle clunkyness and conflicts.
Based on this, I just can’t recommend it, and I’ll look for an alternate. Hopefully there is something and I’m not forced back to trying to figure it out again.
	
		This topic was modified 2 weeks, 2 days ago by jhione.",1,https://wordpress.org/support/topic/thought-i-would-give-it-another-shot-sad-results/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 26, 2023",Always very happy with WP support,"I am a novice but these forums have always helped me fix the problems I have encountered, usually because of a third party plugin!",5,https://wordpress.org/support/topic/always-very-happy-with-wp-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 23, 2023",Limited,"Woocommer relies heavily on third-party plugins to perform the basics of many functions that should be native.It’s so simple that everything becomes more complicated to get ready.I’m migrating to PrestaShop, it appears to deliver a better experience for an online store by delivering several features natively.",2,https://wordpress.org/support/topic/limited-36/,WooCommerce,.org Product Review,TBD,.org review harvester
